teamAbbr,teamEFG%,teamTO%,teamOREB%,teamFTA,teamFGA,opptEFG%,opptTO%,opptOREB%,opptFTA,opptFGA,teamRslt
NOP,0.515,14.6,28.1,20,102,0.476,11.8,30.2,38,103,Loss
LAL,0.512,12.9,20.9,21,85,0.586,13.3,25.6,24,81,Loss
CHI,0.51,8,38.5,22,105,0.642,16.7,23.7,16,88,Loss
DET,0.596,16.3,27.8,33,78,0.506,13.1,22.2,24,89,Win
CLE,0.426,14.5,20.4,15,88,0.483,12.1,13.7,19,86,Loss
MIN,0.486,9.8,24,28,108,0.55,12.5,20,26,101,Win
MEM,0.455,19,18.4,30,89,0.512,17.1,26.2,39,85,Loss
BOS,0.406,8.7,16.7,34,90,0.476,12.9,27.9,36,85,Loss
WAS,0.457,14.4,21.2,18,93,0.533,17.3,12.2,33,76,Loss
NYK,0.521,12.1,10.9,18,94,0.548,17.5,22.7,36,83,Loss
OKC,0.446,11.9,15.6,31,83,0.478,10,21.2,20,90,Loss
DEN,0.531,17,23.9,27,81,0.454,17.1,27.7,23,87,Win
SAC,0.448,20.9,25.5,26,87,0.556,11.7,20.5,18,98,Loss
ATL,0.576,12,21.1,21,86,0.471,12.1,20.9,22,85,Win
MIL,0.545,9.3,11.3,18,99,0.456,11.6,17.5,39,90,Win
LAC,0.738,15.4,10,30,80,0.47,10.4,29.4,30,99,Win
TOR,0.59,21.2,12.5,17,78,0.445,7.2,33.9,16,109,Loss
MIN,0.538,12.5,28.3,31,91,0.512,16.6,18.8,26,84,Win
NYK,0.574,21.8,20.5,28,81,0.577,21.9,26.8,34,78,Loss
CHI,0.495,11.2,18,24,93,0.468,14.9,29.4,20,94,Win
DAL,0.559,9.5,25,26,93,0.536,11.8,24.5,15,98,Win
WAS,0.459,12.9,16,10,97,0.428,16.3,15.2,22,83,Win
PHO,0.442,14.5,21.3,32,86,0.429,11.5,15.4,36,92,Loss
POR,0.606,14.5,14.3,22,85,0.511,14.7,27.1,27,87,Win
UTA,0.471,21.7,8.8,21,70,0.442,12.7,22.9,24,86,Loss
MIA,0.535,12,16,36,101,0.527,14.1,9.8,35,94,Win
PHI,0.557,18,16.7,30,87,0.592,20,13.5,36,76,Win
ORL,0.379,8.3,28.3,26,99,0.565,16.6,23.7,15,84,Loss
BOS,0.532,10.2,25,29,93,0.421,19.2,32.7,34,82,Win
TOR,0.555,19.7,23.3,18,82,0.345,12.2,19.7,25,97,Win
IND,0.506,15.5,15.8,13,87,0.569,16.3,28.6,29,80,Loss
NOP,0.55,13.7,20,16,100,0.527,15.1,21.4,30,94,Loss
WAS,0.579,10.5,20,17,95,0.509,7.2,38.9,17,108,Loss
SAC,0.414,16.1,12.8,17,81,0.679,20.1,7.4,12,78,Loss
LAC,0.523,10.3,20,39,87,0.599,13.7,22.5,34,86,Loss
GSW,0.353,11.7,22.2,31,92,0.66,20.8,22.9,22,78,Loss
BRK,0.51,12.7,21.2,37,101,0.553,9.5,16,25,103,Loss
POR,0.569,14,17.1,26,87,0.463,8.9,22.6,41,94,Win
MIA,0.582,18.7,17.9,15,85,0.5,13.2,29.2,33,91,Loss
CHO,0.44,12.2,26,23,91,0.586,11.6,23.8,14,93,Loss
IND,0.447,6.6,25,13,94,0.537,19,22,10,81,Loss
CHI,0.476,8.7,17.4,21,85,0.467,13.9,45.5,32,91,Loss
PHI,0.483,17.5,24.5,25,88,0.482,17.6,17.8,32,84,Win
ORL,0.449,14.2,14.8,18,89,0.447,14,13.3,30,85,Loss
CLE,0.51,9.5,19.2,12,100,0.614,10.5,17.4,24,92,Loss
GSW,0.558,13.6,38.8,24,104,0.539,11.7,20.8,22,103,Win
OKC,0.505,11.1,34,24,94,0.489,11.8,20,33,90,Loss
POR,0.44,8.2,17.3,27,100,0.524,15.4,14.9,32,85,Loss
UTA,0.451,20.7,14,39,71,0.494,15.1,6.5,23,80,Win
DEN,0.418,8.5,36.5,21,98,0.462,10.9,30,16,91,Win
CHO,0.518,19.1,20.5,14,83,0.554,18.5,23.7,21,83,Loss
ATL,0.488,17.6,20,24,83,0.541,21.9,35.1,45,73,Loss
DAL,0.565,7.8,21.7,24,84,0.533,9.4,30.4,13,91,Win
MEM,0.363,16.7,22.8,23,95,0.506,14.9,23.3,39,86,Loss
MIN,0.457,18.4,13,28,81,0.516,17.4,36.4,28,92,Loss
NYK,0.421,10.8,20.8,20,82,0.489,7,29.2,12,88,Loss
CHI,0.511,5.7,19.6,23,90,0.59,15.6,30.3,31,78,Loss
IND,0.526,7.9,23.4,20,96,0.495,15.4,37.5,26,93,Win
MIL,0.549,13.9,11.1,24,82,0.538,8.2,11.1,21,92,Loss
DET,0.545,16.9,26.2,23,88,0.669,13.3,8.8,12,86,Loss
POR,0.494,15,17.6,24,86,0.417,15.2,24.5,37,84,Win
HOU,0.646,10,39.6,33,103,0.736,15.5,30.6,29,91,Win
CHO,0.643,18.2,25.6,14,84,0.531,12.9,21.7,12,96,Win
LAC,0.524,17.9,15.4,12,82,0.619,13.9,9.1,16,80,Loss
PHO,0.536,13.2,26.5,21,96,0.488,15.5,17.9,36,82,Win
MIA,0.56,12.3,20.9,19,84,0.449,13.9,33.3,26,88,Win
DEN,0.522,12.7,12.5,16,89,0.63,14.1,6.3,32,77,Loss
SAS,0.494,17.1,20,27,80,0.456,9.7,21.6,27,91,Loss
MIA,0.585,9.5,17.6,34,71,0.588,7.9,34,17,97,Loss
LAL,0.519,17.2,24.4,29,79,0.588,11.8,8.6,23,80,Loss
LAL,0.532,14.5,23.8,21,79,0.5,11.3,17.9,26,75,Win
MIA,0.542,12.3,23.7,22,83,0.549,14.1,31.6,21,82,Win
